"num","date","detail","bankcard","zhifubao","weixin","ccbcredit","bcmcredit","cmbcredit","zhongxincredit","cmbccredit","huabei","baitiao","jiebei","account"
"1","2019/9/9","结余","6730.65","1075.80","1.24","-12342.11","-4931.79","-16812.75","-12335.85","-4100.00","-11249.67","-3229.46","-9171.06","-2440.00"
"2","2019/9/9","还交行信用卡","-3380.06","0.00","0.00","0.00","0.00","0.00","0.00","3384.11","0.00","0.00","0.00","0.00"
"3","2019/9/9","还京东金融","-191.48","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","191.48","0.00","0.00"
"4","2019/9/9","还招行信用卡","-1934.72","0.00","0.00","0.00","0.00","1934.00","0.00","0.00","0.00","0.00","0.00","0.00"
"5","2019/9/9","刘杰饭钱","0.00","0.00","20.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"6","2019/9/9","火车票退票","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","262.00","0.00","0.00","0.00"
"7","2019/9/9","午饭","0.00","0.00","0.00","0.00","0.00","-28.59","0.00","0.00","0.00","0.00","0.00","0.00"
"8","2019/9/9","晚饭","0.00","0.00","-21.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"9","2019/9/9","饮料","0.00","0.00","0.00","0.00","0.00","0.00","-4.00","0.00","0.00","0.00","0.00","0.00"
"10","2019/9/9","套现","4251.87","0.00","0.00","0.00","0.00","0.00","0.00","-4284.00","0.00","0.00","0.00","0.00"
"11","2019/9/9","还交行","-4931.79","0.00","0.00","0.00","4140.58","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"12","2019/9/9","套现","6153.85","0.00","0.00","0.00","-6199.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"13","2019/9/9","还花呗","-1082.46","0.00","0.00","0.00","0.00","0.00","0.00","0.00","1016.21","0.00","0.00","0.00"
"14","2019/9/9","还刘昱彤","-2440.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2440.00"
"15","2019/9/10","早饭","-9.50","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"16","2019/9/10","午饭","0.00","0.00","0.00","0.00","0.00","0.00","-20.17","0.00","0.00","0.00","0.00","0.00"
"17","2019/9/10","午饭","0.00","0.00","7.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"18","2019/9/10","晚饭","0.00","0.00","-6.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"19","2019/9/10","晚饭","-10.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"20","2019/9/10","瓜子汽水","0.00","0.00","0.00","0.00","0.00","0.00","-13.80","0.00","0.00","0.00","0.00","0.00"
"21","2019/9/11","午饭","-22.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"22","2019/9/11","早饭","-4.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"23","2019/9/11","零食","0.00","0.00","-8.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"24","2019/9/11","周六饭钱","0.00","0.00","13.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"25","2019/9/12","早饭","0.00","0.00","-5.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"26","2019/9/13","午饭","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-22.80","0.00","0.00","0.00"
"27","2019/10/30","测试正负","-0.01","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
